Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3155299,Driver,driver module,,,,epic,,,"Nov 17, 2016",,,,Driver Module,https://www.pivotaltracker.com/epic/show/3155299,,,,,,,,,,,,,
3155287,Member,member module,,,,epic,,,"Nov 17, 2016",,,,Member Module,https://www.pivotaltracker.com/epic/show/3155287,,,,,,,,,,,,,
3155281,Payment,payment module,,,,epic,,,"Nov 17, 2016",,,,Payment Module,https://www.pivotaltracker.com/epic/show/3155281,,,,,,,,,,,,,
3155277,Reservation,reservation module,,,,epic,,,"Nov 17, 2016",,,,Reservation Module,https://www.pivotaltracker.com/epic/show/3155277,,,,,,,,,,,,,
134569695,Retrieve Driver,driver module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,admin can view drivers' details,https://www.pivotaltracker.com/story/show/134569695,,create retrieve driver UI,not completed,connect database and retrieve driver UI,not completed,retrieve driver information from database,not completed,display driver information selected by admin,not completed
134569647,Update Driver,driver module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,admin can modify driver personal information,https://www.pivotaltracker.com/story/show/134569647,,create update driver UI with required field,not completed,retrieve driver details from database,not completed,create database and update driver UI,not completed,update driver database after admin modified,not completed
134569487,Add Driver,driver module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,admin can add driver,https://www.pivotaltracker.com/story/show/134569487,,create add driver UI with required field,not completed,connect database with add driver UI,not completed,create new driver record into database,not completed
134569405,Retrieve Member,member module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,admin can view members' details,https://www.pivotaltracker.com/story/show/134569405,,create retrieve member UI,not completed,connect database and retrieve member UI,not completed,retrieve member information from database,not completed,display member information selected by admin,not completed
134569371,Update Member,member module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,user can modify their personal information,https://www.pivotaltracker.com/story/show/134569371,,create update member UI with required field,not completed,retrieve member details from database,not completed,connect database and update member UI,not completed,update member database after user modified,not completed
134569313,Add Member,member module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,user can register as member in order to make reservation,https://www.pivotaltracker.com/story/show/134569313,,create new member into database,not completed,create member UI with required field,not completed,connect database and member UI,not completed
134569205,View Payment,payment module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,admin can view the payment details such as month report.,https://www.pivotaltracker.com/story/show/134569205,,connect database and payment UI,not completed,create view payment UI,not completed,retrieve payment details from database to view payment UI,not completed
134569085,Add Payment,payment module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,user can make payment after made reservation.,https://www.pivotaltracker.com/story/show/134569085,,create payment UI,not completed,connect database and the payment UI,not completed,display purchase method to make payment,not completed,update payment database,not completed,retrieve reservation details to the payment UI,not completed,print online receipt after made payment,not completed
134568917,Cancel Reservation,reservation module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,user can cancel their taxi reservation,https://www.pivotaltracker.com/story/show/134568917,,retrieve reservation that user selected,not completed,delete reservation record that user selected,not completed,update database after cancel reservation,not completed,connect database,not completed
134568845,View Reservation,reservation module,1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,user can view their taxi reservation.,https://www.pivotaltracker.com/story/show/134568845,,create view reservation UI,not completed,retrieve reservation from database that selected by user,not completed,display all the details of the reservation that user selected,not completed,connect database and the view reservation UI,not completed
134568719,Update Reservation,"driver module, reservation module",1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,user can modify their reservation that have made.,https://www.pivotaltracker.com/story/show/134568719,,create update reservation UI with required field,not completed,connect database and the update reservation UI to make modification of the selected reservation,not completed,display available driver,not completed,display available time,not completed,display destination,not completed,update modified reservation into database,not completed
134568627,Add Reservation,"driver module, reservation module",1,"Nov 21, 2016","Nov 27, 2016",feature,,unstarted,"Nov 17, 2016",,,Kuro Banana,user can make taxi reservation.,https://www.pivotaltracker.com/story/show/134568627,,create new reservation into database,not completed,display available driver,not completed,display available time,not completed,display destination,not completed,create reservation UI with required field,not completed,connect reservation UI and database to create new reservation,not completed
